state,date,year,birth_rate_per_1000
Johor,2013-01-01,2013,16.521413769283907
Kedah,2013-01-01,2013,17.174232767918426
Kelantan,2013-01-01,2013,21.629343629343627
Kuala Lumpur,2013-01-01,2013,14.699431356620632
Labuan,2013-01-01,2013,19.070021881838073
Melaka,2013-01-01,2013,15.982257499708185
Negeri Sembilan,2013-01-01,2013,16.329975750792762
Pahang,2013-01-01,2013,17.19130490214828
Perak,2013-01-01,2013,14.47654462242563
Perlis,2013-01-01,2013,16.728624535315983
Pulau Pinang,2013-01-01,2013,12.930951521712979
Putrajaya,2013-01-01,2013,37.289836888331244
Sabah,2013-01-01,2013,15.733905579399142
Sarawak,2013-01-01,2013,15.293472090823084
Selangor,2013-01-01,2013,17.473029959185055
Terengganu,2013-01-01,2013,22.87138494700916
Johor,2014-01-01,2014,16.979324681161863
Kedah,2014-01-01,2014,17.697677800940518
Kelantan,2014-01-01,2014,22.791574794011837
Kuala Lumpur,2014-01-01,2014,15.59802002992978
Labuan,2014-01-01,2014,19.946695095948826
Melaka,2014-01-01,2014,16.712171618676148
Negeri Sembilan,2014-01-01,2014,17.298999629492403
Pahang,2014-01-01,2014,18.058051140290257
Perak,2014-01-01,2014,14.87961607288108
Perlis,2014-01-01,2014,18.39657282741738
Pulau Pinang,2014-01-01,2014,13.632679816459092
Putrajaya,2014-01-01,2014,37.87391841779975
Sabah,2014-01-01,2014,15.639935693070656
Sarawak,2014-01-01,2014,15.408783783783782
Selangor,2014-01-01,2014,18.001421182225307
Terengganu,2014-01-01,2014,23.687302700806736
Johor,2015-01-01,2015,16.769520538459407
Kedah,2015-01-01,2015,17.54543286429764
Kelantan,2015-01-01,2015,22.212881972054983
Kuala Lumpur,2015-01-01,2015,14.484947202875757
Labuan,2015-01-01,2015,20.536277602523658
Melaka,2015-01-01,2015,16.371203599550057
Negeri Sembilan,2015-01-01,2015,16.9204628949302
Pahang,2015-01-01,2015,17.450712108961998
Perak,2015-01-01,2015,14.708338400421582
Perlis,2015-01-01,2015,17.364185110663982
Pulau Pinang,2015-01-01,2015,13.098168541310876
Putrajaya,2015-01-01,2015,34.566265060240966
Sabah,2015-01-01,2015,14.702056175245263
Sarawak,2015-01-01,2015,14.715528410142515
Selangor,2015-01-01,2015,17.502589834898025
Terengganu,2015-01-01,2015,23.79758828596038
