state,date,tfr
Johor,2013-01-01,2.11
Johor,2014-01-01,2.16
Johor,2015-01-01,2.14
Johor,2016-01-01,2.09
Johor,2017-01-01,2.12
Johor,2018-01-01,2.09
Johor,2019-01-01,2.05
Johor,2020-01-01,1.94
Johor,2021-01-01,1.66
Johor,2022-01-01,1.59
Johor,2023-01-01,1.82
Kedah,2013-01-01,2.42
Kedah,2014-01-01,2.47
Kedah,2015-01-01,2.41
Kedah,2016-01-01,2.31
Kedah,2017-01-01,2.31
Kedah,2018-01-01,2.2
Kedah,2019-01-01,2.09
Kedah,2020-01-01,2.03
Kedah,2021-01-01,2.03
Kedah,2022-01-01,1.83
Kedah,2023-01-01,1.98
Kelantan,2013-01-01,3.44
Kelantan,2014-01-01,3.57
Kelantan,2015-01-01,3.42
Kelantan,2016-01-01,3.23
Kelantan,2017-01-01,3.16
Kelantan,2018-01-01,3
Kelantan,2019-01-01,2.77
Kelantan,2020-01-01,2.66
Kelantan,2021-01-01,2.83
Kelantan,2022-01-01,2.65
Kelantan,2023-01-01,2.72
Melaka,2013-01-01,2.06
Melaka,2014-01-01,2.13
Melaka,2015-01-01,2.05
Melaka,2016-01-01,1.96
Melaka,2017-01-01,1.9
Melaka,2018-01-01,1.85
Melaka,2019-01-01,1.78
Melaka,2020-01-01,1.73
Melaka,2021-01-01,1.67
Melaka,2022-01-01,1.66
Melaka,2023-01-01,1.67
Negeri Sembilan,2013-01-01,2.2
Negeri Sembilan,2014-01-01,2.31
Negeri Sembilan,2015-01-01,2.25
Negeri Sembilan,2016-01-01,2.17
Negeri Sembilan,2017-01-01,2.13
Negeri Sembilan,2018-01-01,2.12
Negeri Sembilan,2019-01-01,2
Negeri Sembilan,2020-01-01,1.96
Negeri Sembilan,2021-01-01,1.8
Negeri Sembilan,2022-01-01,1.72
Negeri Sembilan,2023-01-01,1.76
Pahang,2013-01-01,2.38
Pahang,2014-01-01,2.49
Pahang,2015-01-01,2.39
Pahang,2016-01-01,2.29
Pahang,2017-01-01,2.24
Pahang,2018-01-01,2.15
Pahang,2019-01-01,2.01
Pahang,2020-01-01,1.94
Pahang,2021-01-01,2.18
Pahang,2022-01-01,2.1
Pahang,2023-01-01,2.14
Perak,2013-01-01,2.16
Perak,2014-01-01,2.19
Perak,2015-01-01,2.13
Perak,2016-01-01,2.04
Perak,2017-01-01,1.95
Perak,2018-01-01,1.85
Perak,2019-01-01,1.76
Perak,2020-01-01,1.66
Perak,2021-01-01,1.81
Perak,2022-01-01,1.72
Perak,2023-01-01,1.76
Perlis,2013-01-01,2.35
Perlis,2014-01-01,2.54
Perlis,2015-01-01,2.35
Perlis,2016-01-01,2.28
Perlis,2017-01-01,2.26
Perlis,2018-01-01,2.17
Perlis,2019-01-01,1.98
Perlis,2020-01-01,1.96
Perlis,2021-01-01,1.92
Perlis,2022-01-01,1.68
Perlis,2023-01-01,1.68
Pulau Pinang,2013-01-01,1.48
Pulau Pinang,2014-01-01,1.56
Pulau Pinang,2015-01-01,1.49
Pulau Pinang,2016-01-01,1.44
Pulau Pinang,2017-01-01,1.39
Pulau Pinang,2018-01-01,1.32
Pulau Pinang,2019-01-01,1.28
Pulau Pinang,2020-01-01,1.25
Pulau Pinang,2021-01-01,1.23
Pulau Pinang,2022-01-01,1.17
Pulau Pinang,2023-01-01,1.27
Sabah,2013-01-01,1.68
Sabah,2014-01-01,1.66
Sabah,2015-01-01,1.55
Sabah,2016-01-01,1.44
Sabah,2017-01-01,1.43
Sabah,2018-01-01,1.43
Sabah,2019-01-01,1.41
Sabah,2020-01-01,1.33
Sabah,2021-01-01,1.39
Sabah,2022-01-01,1.44
Sabah,2023-01-01,1.46
Sarawak,2013-01-01,1.95
Sarawak,2014-01-01,1.96
Sarawak,2015-01-01,1.86
Sarawak,2016-01-01,1.74
Sarawak,2017-01-01,1.69
Sarawak,2018-01-01,1.62
Sarawak,2019-01-01,1.59
Sarawak,2020-01-01,1.53
Sarawak,2021-01-01,1.59
Sarawak,2022-01-01,1.56
Sarawak,2023-01-01,1.69
Selangor,2013-01-01,1.82
Selangor,2014-01-01,1.86
Selangor,2015-01-01,1.81
Selangor,2016-01-01,1.73
Selangor,2017-01-01,1.7
Selangor,2018-01-01,1.67
Selangor,2019-01-01,1.57
Selangor,2020-01-01,1.57
Selangor,2021-01-01,1.54
Selangor,2022-01-01,1.46
Selangor,2023-01-01,1.59
Terengganu,2013-01-01,3.32
Terengganu,2014-01-01,3.38
Terengganu,2015-01-01,3.36
Terengganu,2016-01-01,3.24
Terengganu,2017-01-01,3.16
Terengganu,2018-01-01,3.11
Terengganu,2019-01-01,2.9
Terengganu,2020-01-01,2.86
Terengganu,2021-01-01,3.04
Terengganu,2022-01-01,2.88
Terengganu,2023-01-01,2.91
W.P. Kuala Lumpur,2013-01-01,1.52
W.P. Kuala Lumpur,2014-01-01,1.6
W.P. Kuala Lumpur,2015-01-01,1.5
W.P. Kuala Lumpur,2016-01-01,1.51
W.P. Kuala Lumpur,2017-01-01,1.46
W.P. Kuala Lumpur,2018-01-01,1.47
W.P. Kuala Lumpur,2019-01-01,1.68
W.P. Kuala Lumpur,2020-01-01,1.49
W.P. Kuala Lumpur,2021-01-01,1.21
W.P. Kuala Lumpur,2022-01-01,1.19
W.P. Kuala Lumpur,2023-01-01,1.31
W.P. Labuan,2013-01-01,2
W.P. Labuan,2014-01-01,2.05
W.P. Labuan,2015-01-01,2.13
W.P. Labuan,2016-01-01,1.89
W.P. Labuan,2017-01-01,1.82
W.P. Labuan,2018-01-01,1.8
W.P. Labuan,2019-01-01,1.8
W.P. Labuan,2020-01-01,1.88
W.P. Labuan,2021-01-01,1.79
W.P. Labuan,2022-01-01,1.6
W.P. Labuan,2023-01-01,1.61
W.P. Putrajaya,2013-01-01,2.64
W.P. Putrajaya,2014-01-01,2.85
W.P. Putrajaya,2015-01-01,2.72
W.P. Putrajaya,2016-01-01,2.56
W.P. Putrajaya,2017-01-01,2.56
W.P. Putrajaya,2018-01-01,2.63
W.P. Putrajaya,2019-01-01,3.26
W.P. Putrajaya,2020-01-01,2.78
W.P. Putrajaya,2021-01-01,1.86
W.P. Putrajaya,2022-01-01,1.76
W.P. Putrajaya,2023-01-01,1.79
